order;psychopy_order;image;correctAns;respModal;keyResp_keys;keyResp_rt;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion
202;201;REPSWITCH1/PICTURE_687.png;camisa;speak;None;;;gold;filler;2;F;1;Stim5_Set4;1,13E+16;1,26E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.20.917.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
204;203;REPSWITCH1/PICTURE_178.png;puente;speak;None;;;gold;switch;2;T;1;Stim1_Set1;1,14E+16;1,34E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.30.163.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
205;204;REPSWITCH1/PICTURE_128.png;muñeca;speak;None;;;gold;nontarget;2;NT;1;Stim4_Set1;1,14E+15;1,35E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.34.815.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
208;207;REPSWITCH1/PICTURE_728.png;pulpo;speak;None;;;gold;filler;2;F;1;Stim8_Set4;1,16E+15;1,41E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.48.650.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
212;211;REPSWITCH1/PICTURE_48.png;bombero;speak;None;;;gold;filler;2;F;1;Stim7_Set4;1,18E+16;1,47E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.07.033.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
216;215;REPSWITCH1/PICTURE_19.png;pavo;speak;None;;;gold;switch;2;T;1;Stim5_Set1;1,20E+15;1,74E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.25.601.wav;1,20E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
219;218;REPSWITCH1/PICTURE_142.png;vaso;speak;None;;;gold;filler;2;F;2;Stim7_Set1;1,21E+16;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.39.495.wav;1,21E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
220;219;REPSWITCH1/PICTURE_16.png;cazador;speak;None;;;gold;filler;2;F;2;Stim6_Set1;1,21E+16;1,50E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.44.066.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
224;223;REPSWITCH1/PICTURE_517.png;cuerda;speak;None;;;gold;switch;2;T;2;Stim4_Set2;1,23E+15;1,46E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.02.609.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
226;225;REPSWITCH1/PICTURE_30.png;granja;speak;None;;;gold;nontarget;2;NT;2;Stim5_Set2;1,24E+16;1,95E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.11.854.wav;1,24E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
229;228;REPSWITCH1/PICTURE_199.png;falda;speak;None;;;gold;switch;2;T;2;Stim8_Set2;1,26E+16;1,37E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.25.930.wav;1,26E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
230;229;REPSWITCH1/PICTURE_178.png;puente;speak;None;;;gold;filler;2;F;2;Stim1_Set1;1,26E+16;1,32E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.30.515.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
232;231;REPSWITCH1/PICTURE_152.png;caracol;speak;None;;;gold;nontarget;2;NT;2;Stim2_Set2;1,27E+16;1,52E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.39.849.wav;1,27E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
