"","Trial_no","CorrectAns","SubjResponse","Backspace","Item_correct","RespModal","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","RepSwitch","FrameColor","sequence","Target","set","block","list","exp_version","stimulus","baseline","baseline_condition","fixationITI.started","fixationITI.stopped","polygonColour.started","polygonWhite.started","imageObject.started","polygonType.started","textInput.started","keyResp.started","micRespv2l1.started","participant","session","date","psychopyVersion"
"44",44,"manzana","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","darkblue",2,"T",2,1,1,2,"Stim6_Set2",0,"None",278.131929000141,279.152786700055,279.152786700055,279.152786700055,279.152786700055,279.152786700055,279.152786700055,279.152786700055,279.152786700055,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"45",45,"cazador","cazador","0","1","type","['c', 'a', 'z', 'a', 'd', 'o', 'r']",0.994960200041533,1.07495329994708,1.25130959996022,1.36330560012721,1.6036114001181,1.74763220013119,1.85964259994216,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",2,1,1,2,"Stim6_Set1",0,"None",282.681760900188,283.841889700154,283.841889700154,283.841889700154,283.841889700154,283.841889700154,283.841889700154,283.841889700154,283.841889700154,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"46",46,"cerdo","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",2,1,1,2,"Stim7_Set2",1,"switch",287.369260000065,288.459699900122,288.459699900122,288.459699900122,288.459699900122,288.459699900122,288.459699900122,288.459699900122,288.459699900122,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"47",47,"cerdo","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","darkblue",2,"T",2,1,1,2,"Stim7_Set2",0,"None",291.988706700038,293.00272310013,293.00272310013,293.00272310013,293.00272310013,293.00272310013,293.00272310013,293.00272310013,293.00272310013,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"48",48,"escoba","escoba","0","1","type","['e', 's', 'c', 'o', 'b', 'a']",0.99059379985556,1.19865339994431,1.42298429994844,1.53497399995103,1.71072099986486,1.79069589986466,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",2,1,1,2,"Extra3",0,"None",296.530174100073,297.606580500025,297.606580500025,297.606580500025,297.606580500025,297.606580500025,297.606580500025,297.606580500025,297.606580500025,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"49",49,"espalda","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",2,1,1,2,"Stim8_Set1",0,"None",301.13584400015,302.149784000125,302.149784000125,302.149784000125,302.149784000125,302.149784000125,302.149784000125,302.149784000125,302.149784000125,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"50",50,"falda","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",2,1,1,2,"Stim8_Set2",1,"repeat",305.670871300157,306.768409700133,306.768409700133,306.768409700133,306.768409700133,306.768409700133,306.768409700133,306.768409700133,306.768409700133,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"51",51,"falda","falda","0","1","type","['f', 'a', 'l', 'd', 'a']",0.9250572999008,1.00546399992891,1.32484659994952,1.38885129988194,1.5808868999593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","gold",1,"T",2,1,1,2,"Stim8_Set2",0,"None",310.295720200054,311.351837400114,311.351837400114,311.351837400114,311.351837400114,311.351837400114,311.351837400114,311.351837400114,311.351837400114,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"52",52,"guante","guante","0","1","type","['g', 'u', 'a', 'n', 't', 'e']",0.923168600071222,1.01916250004433,1.17968480009586,1.24369470006786,1.43518100003712,1.48310720012523,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",3,1,1,2,"Stim1_Set3",0,"None",317.360219400143,318.457515100017,318.457515100017,318.457515100017,318.457515100017,318.457515100017,318.457515100017,318.457515100017,318.457515100017,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"53",53,"guante","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","darkblue",2,"T",3,1,1,2,"Stim1_Set3",0,"None",321.97911700001,323.020609300118,323.020609300118,323.020609300118,323.020609300118,323.020609300118,323.020609300118,323.020609300118,323.020609300118,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"54",54,"tronco","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",3,1,1,2,"Extra4",0,"None",326.548699200153,327.715656799963,327.715656799963,327.715656799963,327.715656799963,327.715656799963,327.715656799963,327.715656799963,327.715656799963,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"55",55,"miel","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",3,1,1,2,"Stim2_Set3",1,"repeat",331.24303760007,332.277789300075,332.277789300075,332.277789300075,332.277789300075,332.277789300075,332.277789300075,332.277789300075,332.277789300075,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"56",56,"miel","miel","0","1","type","['m', 'i', 'e', 'l']",0.638190200086683,0.798140200087801,0.894169100094587,1.05417639994994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","gold",1,"T",3,1,1,2,"Stim2_Set3",0,"None",335.806920400122,336.966748300008,336.966748300008,336.966748300008,336.966748300008,336.966748300008,336.966748300008,336.966748300008,336.966748300008,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"57",57,"pintor","pintor","0","1","type","['p', 'i', 'n', 't', 'o', 'r']",0.796846899902448,1.10062059992924,1.22865889989771,1.34033160004765,1.43673700001091,1.56478750007227,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",3,1,1,2,"Stim1_Set2",1,"repeat",340.487900400069,341.592369399965,341.592369399965,341.592369399965,341.592369399965,341.592369399965,341.592369399965,341.592369399965,341.592369399965,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"58",58,"cartero","cartero","0","1","type","['c', 'a', 'r', 't', 'e', 'r', 'o']",0.926749699981883,1.02375319995917,1.11950699985027,1.23153809993528,1.34353569988161,1.47152389981784,1.56790749984793,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",3,1,1,2,"Stim3_Set3",1,"repeat",345.119708500104,346.182007400086,346.182007400086,346.182007400086,346.182007400086,346.182007400086,346.182007400086,346.182007400086,346.182007400086,201,1,"2023-10-06_09h41.18.571","2022.2.4"
