Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V1L3_p130103_tr403_speak_columna;columna;872;544;;;;;;
recording_V1L3_p130103_tr404_type_cartero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr405_type_bombero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr406_type_bombero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr407_speak_cadena;cadena;832;498.041;;;;;;
recording_V1L3_p130103_tr408_type_escoba;[type];0;3000;;;;;;
recording_V1L3_p130103_tr40_speak_fresa;fresa;1151.399;512.601;;;;;;
recording_V1L3_p130103_tr41_type_pavo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr42_speak_cuerda;cuerda;1544;433.621;;;;;;
recording_V1L3_p130103_tr43_speak_cuerda;cuerda;583.217;444.125;;;;;;
recording_V1L3_p130103_tr44_type_puente;[type];0;3000;;;;;;
recording_V1L3_p130103_tr45_speak_falda;falda;742.01;491.267;;;;;;
recording_V1L3_p130103_tr46_speak_falda;falda;660.132;499.868;;;;;;
recording_V1L3_p130103_tr47_type_espalda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr48_speak_vaso;vaso;898.322;421.795;;;;;;
recording_V1L3_p130103_tr49_speak_manzana;manzana;704;586.343;;;;;;
recording_V1L3_p130103_tr4_type_pierna;[type];0;3000;;;;;;
recording_V1L3_p130103_tr50_type_manzana;[type];0;3000;;;;;;
recording_V1L3_p130103_tr51_speak_escoba;escoba;1112;543.072;;;;;;
recording_V1L3_p130103_tr52_type_manzana;[type];0;3000;;;;;;
recording_V1L3_p130103_tr53_type_goma;[type];0;3000;;;;;;
recording_V1L3_p130103_tr54_speak_goma;goma;872;320;;;;;;
recording_V1L3_p130103_tr55_speak_granja;granja;888;488;;;;;;
recording_V1L3_p130103_tr56_speak_aguja;aguja;1005.011;553.296;;;;;;
recording_V1L3_p130103_tr57_type_aguja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr58_type_cadena;[type];0;3000;;;;;;
recording_V1L3_p130103_tr59_type_iglesia;[type];0;3000;;;;;;
