"","Response","Image","respModal","Target","RepSwitch","Accuracy","RT","Duration","Notes"
"147","goma","goma","type","NT","nontarget","1","1,343","0,319",NA
"148","goma","goma","speak","T","switch","1","0.85010799999999997","0.58651799999999998","weird sound quality (52_337)"
"149","go..mano","mano","speak","F","filler","0","0.73570100000000005","0.82518799999999992","started with /go/ and then corrected to 'mano'"
"150","aguja","aguja","speak","NT","nontarget","1","0.97454200000000002","0.67084499999999991",NA
"151","aguja","aguja","type","T","switch","1","1,052","1,216",NA
"152","iglesia","iglesia","type","NT","nontarget","1","1,147","0,928",NA
"153","iglesia","iglesia","speak","T","switch","1","0.779501","0.61332100000000001",NA
"154","pintor","pintor","type","F","filler","1","1,318","0,657",NA
"155","conejo","conejo","speak","NT","nontarget","1","2.0677490000000001","0.5377860000000001","hesitation [uh] (24_647)"
"156","conejo","conejo","speak","T","repeat","1","0.872","0.57208200000000009",NA
"157","cerdo","cerdo","type","F","filler","0","1,101","1,216","corrected with backspace"
"158","caracol","caracol","type","F","filler","1","0,896","0,992",NA
"159","guante","guante","speak","NT","nontarget","1","0.67930400000000002","0.57758999999999994",NA
"160","guante","guante","speak","T","repeat","1","0.70782100000000003","0.63211400000000006",NA
"161","cartero","cartero","speak","NT","nontarget","1","0.79294699999999996","0.710781","yawns while speaking, exhalation at the end of the word passing to the last silent part (52_365)"
"162","cartero","cartero","type","T","switch","1","0,886","0,992",NA
"163","cuerda","cuerda","speak","F","filler","1","0.71257800000000004","0.57195300000000004",NA
"164","oreja","oreja","type","NT","nontarget","0","1,39","0,576","speaks first, then stops and types"
"165","oreja","oreja","type","T","repeat","0","0,985","1,248","corrected with backspace"
"166","falda","falda","speak","F","filler","1","0.62975099999999995","0.55901000000000001",NA
"167","miel","miel","type","NT","nontarget","0","1,059","0,401","speaks first, then types while speaking"
"168","miel","miel","type","T","repeat","1","1,084","0,335",NA
"169","manzana","manzana","type","F","filler","1","0,967","0,703",NA
"170","goma","goma","speak","F","filler","1","1.0283709999999999","0.48785100000000003",NA
"171","pierna","pierna","type","NT","nontarget","1","0,897","0,768",NA
"172","pierna","pierna","type","T","repeat","1","0,796","0,672",NA
"173","pulpo","pulpo","type","NT","nontarget","1","0,793","0,863",NA
"174","pulpo","pulpo","speak","T","switch","1","1.0197989999999999","0.50381100000000001",NA
"175","aguja","aguja","type","F","filler","1","1,094","0,72",NA
"176","taza","taza","speak","NT","nontarget","1","0.76955499999999999","0.56962500000000005",NA
"177","taza","taza","speak","T","repeat","1","0.73300500000000002","0.56498199999999998",NA
"178","bano","bano","speak","NT","nontarget","1","0.790462","0.6188260000000001",NA
"179","bano","bano","type","T","switch","1","1,141","1,295",NA
"180","iglesia","iglesia","speak","F","filler","1","1.0301739999999999","0.61448600000000009",NA
"181","conejo","conejo","type","F","filler","1","0,82","0,704",NA
"182","guante","guante","speak","F","filler","1","0.56427300000000002","0.60527200000000003","weird sound quality (29_676)"
"183","bombero","bombero","type","NT","nontarget","1","1,158","0,705",NA
"184","bombero","bombero","speak","T","switch","1","0.668655","0.57660700000000009",NA
"185","vaca","vaca","speak","NT","nontarget","1","0.66619899999999999","0.53184300000000007",NA
"186","vaca","vaca","speak","T","repeat","1","0.51142600000000005","0.54495700000000002",NA
"187","cartero","cartero","type","F","filler","1","1,125","1,04",NA
"188","regalo","regalo","speak","NT","nontarget","1","0.87655300000000003","0.57922799999999997",NA
"189","regalo","regalo","type","T","switch","1","0,793","0,768",NA
"190","camisa","camisa","type","NT","nontarget","1","1,181","0,593",NA
"191","camisa","camisa","type","T","repeat","1","0,833","0,544",NA
"192","oreja","oreja","speak","F","filler","1","0.73300500000000002","0.55502400000000007",NA
"193","miel","miel","type","F","filler","1","0,9","0,336",NA
"194","NA","break","break","B","break","NA","NA","NA",NA
"195","taza","taza","speak","F","filler","1","0.84240499999999996","0.44464400000000015",NA
