Column1;Trial_no;CorrectAns;SubjResponse;Notes;Backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv2l1.started
340;340;manzana;manzana;NA;0;1;NA;NA;NA;NA;NA;type;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0.745428200112656;0.793427500175312;0.921093400102109;1.01770399999805;1.14673390006647;1.24172480008565;1.3536929001566;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.6955E+14
341;341;manzana;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.70003E+14
342;342;traje;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.70466E+14
343;343;caracol;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.70925E+14
344;344;caracol;caracol;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];0.845443000085652;0.926502400077879;1.006465600105;1.11750190006569;1.16530909994617;1.43774159997702;1.56542199989781;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.7138E+14
345;345;fresa;feesa;NA;0;0;NA;NA;NA;NA;NA;type;['f', 'e', 'e', 's', 'a'];0.764055399922654;0.907738500041887;1.05170319997706;1.13170729996637;1.37177730002441;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.71854E+13
346;346;cerdo;cerdo;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'e', 'r', 'd', 'o'];0.677625899901614;0.821615600027144;1.01360329985619;1.17295060004108;1.22095149988309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.72318E+14
347;347;cerdo;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.72783E+13
348;348;mano;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;1.7325E+14
349;349;mano;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.73714E+14
350;350;mu?eca;mu?eca;NA;0;1;NA;NA;NA;NA;NA;type;['m', 'u', '?', 'e', 'c', 'a'];0.799522600136697;0.959961900021881;1.3279734000098;1.43995950021781;1.66407340019941;1.77554030017927;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.7418E+14
351;351;granja;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;1.74639E+14
352;352;granja;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.75103E+14
353;353;tronco;troinco;NA;0;0;NA;NA;NA;NA;NA;type;['t', 'r', 'o', 'i', 'n', 'c', 'o'];0.916229200083762;1.10862850002013;1.25261920015328;1.26861530006863;1.42845969996415;1.572466700105;1.71628700010478;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.75563E+14
354;354;cazador;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.76023E+14
355;355;pintor;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.76488E+13
356;356;pintor;pintor;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'i', 'n', 't', 'o', 'r'];1.01708379993215;1.27306929999031;1.46509109996259;1.62504999991506;1.68907179986127;1.86487299995497;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.76951E+14
357;357;columna;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.77408E+14
358;358;oreja;oreja;NA;0;1;NA;NA;NA;NA;NA;type;['o', 'r', 'e', 'j', 'a'];0.869192099897191;0.981225399998948;1.12536979978904;1.22116989991628;1.34917189995758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;1.7912E+14
359;359;oreja;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.79589E+14
360;360;falda;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.80057E+14
361;361;guante;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.80522E+14
362;362;guante;guante;NA;0;1;NA;NA;NA;NA;NA;type;['g', 'u', 'a', 'n', 't', 'e'];0.692434099968523;0.740421300055459;0.900417200056836;1.01241500000469;1.22042250004597;1.28438910003752;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.80984E+14
363;363;cuerda;cuerda;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'u', 'e', 'r', 'd', 'a'];0.788223000010476;0.852216799976304;1.0122062000446;1.12427360005677;1.22021970013157;1.33220609999262;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;repeat;1.81442E+14
364;364;conejo;conejo;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'o', 'n', 'e', 'j', 'o'];0.728478400036693;0.888769800076261;1.04980579996482;1.17780139995739;1.30479079997167;1.38479640008882;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.81899E+14
365;365;conejo;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.82358E+14
366;366;manzana;manzana;NA;0;1;NA;NA;NA;NA;NA;type;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0.829513400094584;0.941469799960032;1.00547570013441;1.13347649993375;1.21347670000978;1.29350170004182;1.40605040010996;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.82818E+14
