Trial_no;CorrectAns;SubjResponse;Notes;backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv1l1.started
77;iglesia;iglesia;;0;;1;0;0;0.958025;1.040029;type;['i', 'g', 'l', 'e', 's', 'i', 'a'];0.958025;1.246017;1.3740123;1.5980439;1.7900487;1.8860163;1.998054;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;380.5838774
78;guante;guante;;0;;1;0;0;0.84831;0.50741;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;385.1391152
79;vaca;vaca;;0;;1;0;0;0.9959561;0.352235;type;['v', 'a', 'c', 'a'];0.9959561;1.1249902;1.2519476;1.3481911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;389.8419979
80;vaca;vaca;;0;;1;0;0;1.0232266;0.3045189;type;['v', 'a', 'c', 'a'];1.0232266;1.1032379;1.2637547;1.3277455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;394.5509432
81;baño;baño;;0;;1;0;0;1.1313663;0.784214;type;['b', 'a', 'ñ', 'o'];1.1313663;1.2113998;1.7236211;1.9155803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;399.162709
82;baño;baño;;0;;1;0;0;1.044197;0.464396;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;403.8164334
83;cartero;cartero;;0;;1;0;0;0.794081;0.522827;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;repeat;408.434715
84;miel;miel;;0;;1;0;0;1.1568778;0.431228;type;['m', 'i', 'e', 'l'];1.1568778;1.3488766;1.4928436;1.5881058;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;413.0257449
85;pierna;pierna;;0;;1;0;0;1.368;0.424;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;417.6581565
86;pierna;pierna;;0;;1;0;0;1.065;0.472;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;422.3601218
87;taza;taza;;0;;1;0;0;1.001;0.415263;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;426.9788351
88;taza;taza;;0;;1;0;0;1.2529728;0.4470693;type;['t', 'a', 'z', 'a'];1.2529728;1.3809351;1.620985;1.7000421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;431.5697165
89;aguja;aguja;;0;;1;0;0;1.48;0.596999;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;436.3412715
90;oreja;oreja;;0;;1;0;0;1.5267112;0.7039974;type;['o', 'r', 'e', 'j', 'a'];1.5267112;1.8466829;2.0066738;2.1507023;2.2307086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;440.9598373
91;camisa;camisa;;0;;1;0;0;1.0402456;0.8801125;type;['c', 'a', 'm', 'i', 's', 'a'];1.0402456;1.0882396;1.4878349;1.6636859;1.7605452;1.9203581;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;445.6061862
92;camisa;camisa;;0;;1;0;0;0.64;0.598803;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;450.2665187
93;regalo;regalo;;0;;1;0;0;1.257936;0.683793;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;454.8921407
94;regalo;regalo;;0;;1;0;0;0.829301;0.541254;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;459.4682341
95;columna;column;;0;;1;0;0;1.2917243;1.135592;type;['c', 'o', 'l', 'u', 'm', 'n'];1.2917243;1.4996262;1.6914617;1.9311171;2.1873028;2.4273163;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;464.1225714
96;conejo;conejo;;0;;1;0;0;1.189307;0.493108;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;468.7553062
97;bombero;bombero;;0;;1;0;0;1.345458;0.726525;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;473.3946739
98;bombero;bombero;;0;;1;0;0;1.2446712;1.2483789;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];1.2446712;1.4206534;1.6450514;1.9490601;2.1250511;2.3650552;2.4930501;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;478.0410195
99;pulpo;pulpo;;0;;1;0;0;1.4084064;1.0079887;type;['p', 'u', 'l', 'p', 'o'];1.4084064;1.6963981;2.0804673;2.2564053;2.4163951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;482.6457744
100;pulpo;pulpo;;0;;1;0;0;0.7149045;1.0560215;type;['p', 'u', 'l', 'p', 'o'];0.7149045;0.9869018;1.3388866;1.6269673;1.770926;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;487.3547648
101;iglesia;iglesia;;0;;1;0;0;1.172579;0.716231;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;492.0012248
102;goma;gomsa;;1;;1;1;0;1.3288019;1.519574;type;['g', 'o', 'm', 's', 'a', 'backspace', 'a'];1.3288019;1.4567977;1.6327918;1.7287622;1.760792;2.5600914;2.8483759;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;496.6615378
103;columna;columna;;0;;1;0;0;1.2680151;1.3443666;type;['c', 'o', 'l', 'u', 'm', 'n', 'a'];1.2680151;1.6360609;1.8270702;2.051995;2.2759959;2.5153341;2.6123817;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;505.426616
104;muñeca;muñeca;;0;;1;0;0;0.946749;0.672261;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;510.0173754
